id,author,created,modified,search_attrs,phrase
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""with Stacy Vaughn's mention "", ""type"": ""Attendee"", ""name"": ""post.mentions"", ""human"": ""mentioned {mention} in a post"", ""example"": ""Attendees who mentioned Elon Musk in post""}, {""short"": ""9 times"", ""type"": ""int"", ""name"": ""like.count"", ""human"": ""made {freq} likes"", ""example"": ""Attendees who made more than 30 likes""}, {""short"": ""contains 'blackout'"", ""type"": ""text"", ""name"": ""ad.text"", ""example"": ""Attendees who clicked on ad with Tesla""}]",Find people who wrote posts mentioning Stacy Vaughn and liked any post 9 times and clickd on ad with 'blackout' in it
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""with Stacy Vaughn's mention "", ""type"": ""Attendee"", ""name"": ""post.mentions"", ""human"": ""mentioned {mention} in a post"", ""example"": ""Attendees who mentioned Elon Musk in post""}, {""short"": ""9 times"", ""type"": ""int"", ""name"": ""like.count"", ""human"": ""made {freq} likes"", ""example"": ""Attendees who made more than 30 likes""}, {""short"": ""contains 'blackout'"", ""type"": ""text"", ""name"": ""ad.text"", ""example"": ""Attendees who clicked on ad with Tesla""}]",Find all attendees who wrote at least one post with mention of Stacy Vaughn and liked any post 9 or more times and clickd on ad with text 'blackout' in it
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""with Stacy Vaughn's mention "", ""type"": ""Attendee"", ""name"": ""post.mentions"", ""human"": ""mentioned {mention} in a post"", ""example"": ""Attendees who mentioned Elon Musk in post""}, {""short"": ""9 times"", ""type"": ""int"", ""name"": ""like.count"", ""human"": ""made {freq} likes"", ""example"": ""Attendees who made more than 30 likes""}, {""short"": ""contains 'blackout'"", ""type"": ""text"", ""name"": ""ad.text"", ""example"": ""Attendees who clicked on ad with Tesla""}]",Find all attendees who wrote a post about Stacy Vaughn and have at least nine likes and clickd on add that contained 'blackout'
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""with Stacy Vaughn's mention "", ""type"": ""Attendee"", ""name"": ""post.mentions"", ""human"": ""mentioned {mention} in a post"", ""example"": ""Attendees who mentioned Elon Musk in post""}, {""short"": ""9 times"", ""type"": ""int"", ""name"": ""like.count"", ""human"": ""made {freq} likes"", ""example"": ""Attendees who made more than 30 likes""}, {""short"": ""contains 'blackout'"", ""type"": ""text"", ""name"": ""ad.text"", ""example"": ""Attendees who clicked on ad with Tesla""}]",Find all attendees who clicked on ad about blackout and also liked post 9 times and wrote post with Stacy Vaughn's mention
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""with Stacy Vaughn's mention "", ""type"": ""Attendee"", ""name"": ""post.mentions"", ""human"": ""mentioned {mention} in a post"", ""example"": ""Attendees who mentioned Elon Musk in post""}, {""short"": ""9 times"", ""type"": ""int"", ""name"": ""like.count"", ""human"": ""made {freq} likes"", ""example"": ""Attendees who made more than 30 likes""}, {""short"": ""contains 'blackout'"", ""type"": ""text"", ""name"": ""ad.text"", ""example"": ""Attendees who clicked on ad with Tesla""}]",Find client who wrote Stacy Vaughn's post and liked it 9 times as well as clicked on ad that contains 'blackout'
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""4 times"", ""type"": ""int"", ""name"": ""rating.count"", ""example"": ""Attendees who viewed sponsor page with Tesla more than 5 times""}, {""short"": ""answered 'Yes'"", ""type"": ""text"", ""name"": ""poll.answerText"", ""example"": ""Attendees who answered Yes for poll 'Are you happy?'""}, {""short"": ""from page with 'exhibitor' type"", ""type"": ""PageType"", ""name"": ""fileDownload.type"", ""example"": ""Attendees who viewed sponsor page""}]",Attendees who rated page at least 4 times and answered 'Yes' in a poll and downloaded 'exhibitor' type page file
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""4 times"", ""type"": ""int"", ""name"": ""rating.count"", ""example"": ""Attendees who viewed sponsor page with Tesla more than 5 times""}, {""short"": ""answered 'Yes'"", ""type"": ""text"", ""name"": ""poll.answerText"", ""example"": ""Attendees who answered Yes for poll 'Are you happy?'""}, {""short"": ""from page with 'exhibitor' type"", ""type"": ""PageType"", ""name"": ""fileDownload.type"", ""example"": ""Attendees who viewed sponsor page""}]",Find attendees who rated any page four times and participated in poll and answered yes to any question as well as downloaded a file from page with 'exhibitor' type
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""4 times"", ""type"": ""int"", ""name"": ""rating.count"", ""example"": ""Attendees who viewed sponsor page with Tesla more than 5 times""}, {""short"": ""answered 'Yes'"", ""type"": ""text"", ""name"": ""poll.answerText"", ""example"": ""Attendees who answered Yes for poll 'Are you happy?'""}, {""short"": ""from page with 'exhibitor' type"", ""type"": ""PageType"", ""name"": ""fileDownload.type"", ""example"": ""Attendees who viewed sponsor page""}]",Find people who rated page 4 time and answered yes in poll and downloaded a file from exhibitor page
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""4 times"", ""type"": ""int"", ""name"": ""rating.count"", ""example"": ""Attendees who viewed sponsor page with Tesla more than 5 times""}, {""short"": ""answered 'Yes'"", ""type"": ""text"", ""name"": ""poll.answerText"", ""example"": ""Attendees who answered Yes for poll 'Are you happy?'""}, {""short"": ""from page with 'exhibitor' type"", ""type"": ""PageType"", ""name"": ""fileDownload.type"", ""example"": ""Attendees who viewed sponsor page""}]",Find attendees who rated page 4 or more times and in poll answered affirmative and got file from 'exhibitor' type page
e82bae79-8891-4244-9745-bcb07935845c,sudodoki,1522153919710,1522158461037,"[{""short"": ""4 times"", ""type"": ""int"", ""name"": ""rating.count"", ""example"": ""Attendees who viewed sponsor page with Tesla more than 5 times""}, {""short"": ""answered 'Yes'"", ""type"": ""text"", ""name"": ""poll.answerText"", ""example"": ""Attendees who answered Yes for poll 'Are you happy?'""}, {""short"": ""from page with 'exhibitor' type"", ""type"": ""PageType"", ""name"": ""fileDownload.type"", ""example"": ""Attendees who viewed sponsor page""}]",Find attendees who rated my page four times as well as participated in poll and answered positively and downloaded any file from exhibitor page
